HighFraming,589.361
HighFraming,557.237
HighFraming,573.151
HighFraming,612.122
HighFraming,633.171
LowFraming,606.127
LowFraming,637.924
HighFraming,565.524
LowFraming,699.897
LowFraming,625.909
HighFraming,568.036
LowFraming,607.915
HighFraming,563.111
LowFraming,613.077
HighFraming,617.566
LowFraming,636.874
HighFraming,554.53
LowFraming,599.76
HighFraming,547.738
LowFraming,595.122
LowFraming,548.638
LowFraming,638.678
HighFraming,628.969
LowFraming,849.637
HighFraming,578.983
HighFraming,534.085
HighFraming,790.208
LowFraming,571.561
